CardID,Category2,Name
workshop-history-and-genre,Workshop,History and Genre
platform-the-exchange,Platform,The Exchange
touchstone-past-and-present,Touchstone,Past and Present
touchstone-connectivities,Touchstone,Connectivities
touchstone-mediating-technologies,Touchstone,Mediating Technologies
protocol-stuckness,Protocol,Stuckness
protocol-mediation,Protocol,Mediation
protocol-protocol,Protocol,Protocol
protocol-platform,Protocol,Platform
protocol-fiction,Protocol,Fiction
protocol-better-explanation,Protocol,Better Explanation
workshop-heterochrony,Workshop,Heterochrony
workshop-breaking-boundaries,Workshop,Breaking Boundaries
workshop-dedisciplinarity,Workshop,Dedisciplinarity
workshop-the-universal-library,Workshop,The Universal Library
workshop-trust,Workshop,Trust
platform-table,Platform,Table
workshop-visualization,Workshop,Visualization
workshop-simulation,Workshop,Simulation
workshop-thought-experiment,Workshop,Thought Experiment
platform-interface,Platform,Interface
platform-program,Platform,Program
platform-network,Platform,Network
tool-frame-2,Tool,Frame 2
tool-connectivity,Tool,Connectivity
tool-complete-knowledge,Tool,Complete Knowledge
tool-frame-1,Tool,Frame 1
tool-when-in-doubt-scale,Tool,"When in Doubt, Scale!"
tool-wandering,Tool,Wandering
tool-zone,Tool,Zone
tool-writing,Tool,Writing
protocol-re,Protocol,RE:
touchstone-the-specific,Touchstone,The Specific
workshop-the-abstract,Workshop,The Abstract
workshop-embodiment,Workshop,Embodiment
workshop-unity,Workshop,Unity
